docid,dirid,keywords,keywords_nouns,ur,topic
485572342,120808,질문태백 추억의 중국집 어릴적 태백에 광산박물관 갔다가 식사할 곳 찾는다고 돌아다니다 아파트 입구에 있는 상가라 해야되나 그쪽에 있는 중국집 갔었는데 온가족이 그 맛을 그리워해서.. 한 20년 됬습니다. 혹시 폐업여부나 위치 알수있을까요?,추억 중국집 박물관 곳 아파트 입구 상가라 쪽 중국집 가족 그 맛 혹시 폐업 여부 위치,rural,0
484344737,120808,"질문제주고씨 화전군파 돌림이름 알고 싶네요 아버지: 가운데 함자가 ""순"" 돌림 아들  : 가운데가 ""상"" 돌림 입니다 그러면 다음에 어떻게 되는건지요",고씨 돌림 알 아버지 가운데 함자 돌림 아들 가운데 돌림 다음,rural,4
484126799,120808,질문문곡고(세무고)내신 어느정도여야 진학 가능하나요? 문곡고를 가고 싶은 중3 학생입니다. 문고고의 내신은 어느 정도여야 진학이 가능한지 궁금해요! 1학기 국어 B?C? 수학 D 영어 E 과학 C 역사 E 도덕 C 2학기 국어 A 수학 C 영어 D 과학 B 역사 D 도덕 C 이정도면 문곡고 진학 할 수 있나요ㅜ 내공 드려요!!,곡 세무 여야 진학 곡 학생 문고 고의 여야 진학 학기 국어 수학 영어 과학 역사 학기 국어 수학 영어 과학 역사 곡 진학,rural,3
485124033,120810,질문양구에서 춘천 시외버스 질문.. 양구시외버스터미널에서 춘천 시외버스터미널 가는 시간이 검색으론 3시간 찍혀있고 그런데 실제로도 이정도 시간이 걸리나요?,시외버스 시외버스 터미널 시외버스 터미널 시간 검색 실제 이정 시간,rural,5
484726753,120810,질문강원도 양구에서 포항까지 올수있는방법알려주세요 nan,방법,rural,5
484450654,120810,질문양구 놀거리 뭐가 있을까요?,놀 뭐,rural,0
484095929,120810,질문강원도 양구군 방산면 옛날사진 옛날기억이 나는데 옛날기억이 날때마다 뭔가 기분이 좋아요 근데 옛날 어렷을때 살던곳 사진이 없어서 혹시 찾아볼수있는곳이 있을까요? 2000년때 양구 방산면입니다.,옛날 날기 날기 날때 뭔가 기분 옛날 어렷을때 곳 혹시 곳,rural,6
485259385,120811,질문양양 전통시장 주차 정보와 주변 볼거리는 무엇인가요? 양양 전통시장을 방문할 때 주차는 어디에 하면 좋은지 그리고 시장 주변에서 즐길 수 있는 관광 명소나 볼거리에 대해 알고 싶습니다. 주차 요금과 운영 시간도 함께 알려주세요.,전통 시장 주차 정보 주변 볼거리 무엇 전통 시장 때 주차 어디 시장 주변 관광 명소 볼거리 알 주차 요금 운영 시간,rural,2
484496166,120811,질문양양 혼자가기? 양양 인구해변 혼자가서 놀기 좋나요 아니면 친구를 데려가야지 재미있나요?,혼자 가기 해변 혼자 친구,rural,2
484472061,120811,질문양양 맛집 어디 잇나여?,맛집 어디,rural,0
484294279,120811,질문양양 죽도해변 양양에 죽도해변을 인구해변이라고 부르나요?,해변 해변 해변,rural,2
485506633,120812,질문서면 던전레드 해보신분 내일 방탈출 하러 갈려 하는데 어느 수집가의 집이였나? 그거 했을때 63%까지 하고 너무 쫄아서 중도 포기 했었거든요ㅜㅜ 근데 내일 부적으로 재 도전 하기로 했는데 많이 무서울까요..?,질문서 던전 레드 탈출 수집가 그거 때 쫄아 포기,rural,6
